Binomial,NumberSpecimens,NumberOverlaps,PercentOverlaps
Notophthalmus viridescens,98,98,100
Taricha granulosa,113,103,91.1504424778761
Eurycea longicauda,5,5,100
Taricha torosa,209,203,97.1291866028708
Anaxyrus americanus,12,12,100
Anaxyrus boreas,17,15,88.23529411764706
NA,NA,NA,NA
Eurycea bislineata,3,2,66.66666666666666
Hyla arborea,3,3,100
Desmognathus fuscus,13,13,100
Necturus maculosus,12,11,91.66666666666666
Pseudotriton ruber,4,4,100
NA,NA,NA,NA
