gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
1837375036,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.2490b,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837375033,217b0d4f-c87e-4063-b6c5-78277e40e866,http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.2490d,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,,,GENUS,Hynobius Tschudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955811,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,Lissotriton vulgaris,,SPECIES,Triturus vulgaris (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955806,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus cristatus,,SPECIES,Triturus cristatus (Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955762,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Tylototriton,Tylototriton verrucosus,,SPECIES,Tylototriton verrucosus Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955732,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,Lissotriton vulgaris,,SPECIES,Triturus vulgaris (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955725,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,Lissotriton vulgaris,,SPECIES,Triturus vulgaris (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955724,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Ichthyosaura,Ichthyosaura alpestris,,SPECIES,Triturus alpestris (Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955717,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Ichthyosaura,Ichthyosaura alpestris,,SPECIES,Triturus alpestris (Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955712,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus cristatus,,SPECIES,Triturus cristatus (Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955687,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus cristatus,,SPECIES,Triturus cristatus (Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955670,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus cristatus,,SPECIES,Triturus cristatus (Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955624,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,Lissotriton vulgaris,,SPECIES,Triturus vulgaris (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955621,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,Lissotriton vulgaris,,SPECIES,Triturus vulgaris (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955608,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus cristatus,,SPECIES,Triturus cristatus (Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955569,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus cristatus,,SPECIES,Triturus cristatus (Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955559,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,Lissotriton vulgaris,,SPECIES,Triturus vulgaris (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830955550,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus cristatus,,SPECIES,Triturus cristatus (Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
