Binomial,NumberSpecimens,NumberOverlaps,PercentOverlaps
Leptotila jamaicensis,33,26,78.78787878787878
Campethera abingoni,12,12,100
Bubalornis niger,12,10,83.33333333333334
NA,NA,NA,NA
NA,NA,NA,NA
Euplectes progne,37,37,100
Accipiter tachiro,9,9,100
Muscicapa adusta,10,10,100
Phylloscopus collybita,30,28,93.33333333333333
Cisticola juncidis,8,4,50
Centropus superciliosus,8,7,87.5
NA,NA,NA,NA
NA,NA,NA,NA
Dendropicos griseocephalus,16,16,100
Euplectes afer,26,23,88.46153846153845
Motacilla capensis,26,24,92.3076923076923
Motacilla aguimp,3,2,66.66666666666666
Pterocles gutturalis,9,6,66.66666666666666
NA,NA,NA,NA
Streptopelia capicola,7,6,85.71428571428571
Amblyospiza albifrons,11,10,90.9090909090909
Corvus corone,25,25,100
Dicrurus adsimilis,4,4,100
NA,NA,NA,NA
Charadrius marginatus,20,10,50
Coturnix delegorguei,8,7,87.5
NA,NA,NA,NA
Eremomela usticollis,8,4,50
Ploceus velatus,16,16,100
Geothlypis poliocephala,4,1,25
Anthus vaalensis,12,12,100
Riparia paludicola,7,5,71.42857142857143
NA,NA,NA,NA
Crithagra atrogularis,5,5,100
Chiroxiphia linearis,3,2,66.66666666666666
Euplectes macroura,3,2,66.66666666666666
Oreothlypis superciliosa,9,2,22.22222222222222
Callipepla squamata,12,11,91.66666666666666
Icterus gularis,11,9,81.81818181818183
Vireo bellii,51,47,92.15686274509804
Thryophilus rufalbus,9,5,55.55555555555556
NA,NA,NA,NA
Icterus chrysater,11,9,81.81818181818183
Aphelocoma unicolor,10,9,90
Icterus pectoralis,3,2,66.66666666666666
Mitrospingus cassinii,4,1,25
Estrilda astrild,22,22,100
Empidonax traillii,67,60,89.55223880597015
Tyrannus dominicensis,25,23,92
NA,NA,NA,NA
Apalis flavida,8,1,12.5
Prinia maculosa,10,9,90
Halcyon albiventris,9,8,88.88888888888889
Cisticola natalensis,27,27,100
Caprimulgus rufigena,6,6,100
Crithagra gularis,10,10,100
Oena capensis,14,14,100
NA,NA,NA,NA
Cossypha heuglini,11,10,90.9090909090909
NA,NA,NA,NA
Trochocercus cyanomelas,10,10,100
Laniarius ferrugineus,5,5,100
Rhinopomastus cyanomelas,9,9,100
Estrilda erythronotos,10,5,50
Dendropicos namaquus,9,9,100
NA,NA,NA,NA
Bubo africanus,6,6,100
Cisticola chiniana,20,20,100
Emberiza capensis,6,5,83.33333333333334
Camaroptera brachyura,11,11,100
Anthoscopus caroli,6,2,33.33333333333333
Glaucidium capense,3,3,100
Vanellus coronatus,8,8,100
NA,NA,NA,NA
Florisuga mellivora,8,3,37.5
Campethera caroli,9,9,100
NA,NA,NA,NA
Fringilla coelebs,11,9,81.81818181818183
Loxia curvirostra,35,11,31.428571428571427
Sitta frontalis,6,3,50
Chloropsis cochinchinensis,5,4,80
Turdus chiguanco,6,3,50
Poecile rufescens,113,104,92.03539823008849
Oenanthe deserti,4,2,50
NA,NA,NA,NA
Certhia brachydactyla,24,24,100
Linaria cannabina,41,41,100
Lanius senator,50,13,26
Picus canus,7,6,85.71428571428571
Larus ridibundus,18,17,94.44444444444444
Tetrax tetrax,5,2,40
Halcyon smyrnensis,5,3,60
Milvus migrans,26,25,96.15384615384616
Calandrella brachydactyla,10,6,60
Falco cherrug,5,5,100
Circaetus gallicus,3,3,100
Puffinus lherminieri,10,8,80
Pagodroma nivea,3,3,100
Eudynamys scolopaceus,4,3,75
Alle alle,23,4,17.391304347826086
Ixobrychus minutus,13,5,38.46153846153847
Ardea alba,7,7,100
Tyto alba,11,9,81.81818181818183
NA,NA,NA,NA
Jynx torquilla,25,12,48
Neophron percnopterus,12,11,91.66666666666666
NA,NA,NA,NA
Melanocorypha calandra,16,11,68.75
Uria aalge,35,12,34.285714285714285
Merops persicus,4,4,100
Limnodromus griseus,50,31,62
Egretta garzetta,7,6,85.71428571428571
Merops leschenaulti,4,3,75
Mergus merganser,4,4,100
Harpactes erythrocephalus,3,1,33.33333333333333
Chlidonias niger,5,0,0
Aythya marila,6,0,0
Centropus viridis,3,2,66.66666666666666
Merops orientalis,3,1,33.33333333333333
Anthus hodgsoni,6,6,100
Anthus pratensis,43,40,93.02325581395348
Motacilla cinerea,33,33,100
Motacilla citreola,4,3,75
NA,NA,NA,NA
Pycnonotus barbatus,5,5,100
Pycnonotus cafer,4,4,100
Pycnonotus goiavier,4,3,75
Chloropsis cyanopogon,3,2,66.66666666666666
Cinclus cinclus,6,6,100
Copsychus saularis,5,3,60
Troglodytes troglodytes,24,24,100
Monticola solitarius,12,9,75
Oenanthe hispanica,17,14,82.35294117647058
Saxicola caprata,4,4,100
Culicicapa ceylonensis,5,4,80
Niltava sundara,4,3,75
Bias musicus,5,5,100
Hypothymis azurea,4,2,50
Terpsiphone atrocaudata,3,3,100
Regulus ignicapilla,27,18,66.66666666666666
Terpsiphone viridis,5,4,80
Acrocephalus arundinaceus,28,15,53.57142857142857
Acrocephalus melanopogon,14,13,92.85714285714286
Acrocephalus stentoreus,5,1,20
Cettia cetti,6,5,83.33333333333334
Locustella naevia,3,1,33.33333333333333
Sylvia melanocephala,8,7,87.5
Sylvia hortensis,36,1,2.7777777777777777
Sylvia nisoria,5,3,60
Sylvia conspicillata,4,4,100
Malacopteron magnum,3,1,33.33333333333333
NA,NA,NA,NA
NA,NA,NA,NA
Pachycephala cinerea,8,0,0
Panurus biarmicus,22,20,90.9090909090909
Poecile palustris,19,14,73.68421052631578
Remiz pendulinus,18,16,88.88888888888889
Psaltriparus minimus,229,216,94.32314410480349
Leptocoma sperata,4,3,75
Gymnoris xanthocollis,5,4,80
Passer hispaniolensis,9,4,44.44444444444444
Petronia petronia,13,9,69.23076923076923
Ploceus philippinus,8,4,50
Corvus enca,5,5,100
Acridotheres fuscus,5,3,60
Cinnyricinclus leucogaster,4,4,100
Spermestes cucullata,4,1,25
Platalea leucorodia,7,6,85.71428571428571
Nigrita canicapillus,5,4,80
Carduelis carduelis,12,11,91.66666666666666
Linaria flavirostris,9,7,77.77777777777779
Passerculus sandwichensis,85,65,76.47058823529412
Sterna dougallii,104,88,84.61538461538461
Passerina ciris,121,110,90.9090909090909
Melospiza georgiana,53,51,96.22641509433963
Pipilo erythrophthalmus,220,212,96.36363636363636
Toxostoma redivivum,173,164,94.79768786127167
Geothlypis tolmiei,183,181,98.90710382513662
Quiscalus quiscula,112,107,95.53571428571429
Parkesia noveboracensis,24,24,100
Jacana jacana,4,4,100
Phoenicopterus ruber,15,0,0
Euphonia violacea,4,3,75
Cyanerpes cyaneus,6,3,50
Capito niger,7,5,71.42857142857143
Tangara cayana,14,13,92.85714285714286
Cacicus cela,8,8,100
Chelidoptera tenebrosa,12,10,83.33333333333334
Synoicus chinensis,5,3,60
Trichastoma malaccense,3,0,0
Todiramphus chloris,5,3,60
Nettapus coromandelianus,6,6,100
Ammodramus savannarum,11,11,100
Himatione sanguinea,78,78,100
Lanius borealis,27,27,100
Quiscalus major,51,38,74.50980392156863
Poecile carolinensis,155,150,96.7741935483871
Callipepla californica,278,250,89.92805755395683
Strix nebulosa,25,5,20
